System,RMSD_A
Ifenprodil (3QEL),1.0511
Ifenprodil (3QEL),1.0533
Ifenprodil (3QEL),1.0547
Ifenprodil (3QEL),1.0547
Ifenprodil (3QEL),1.0561
Ifenprodil (3QEL),1.0598
Ifenprodil (3QEL),1.0656
Ifenprodil (3QEL),1.0656
Ifenprodil (3QEL),1.0657
Ifenprodil (3QEL),1.0679
Ifenprodil (3QEL),1.0688
Ifenprodil (3QEL),1.0694
Ifenprodil (3QEL),1.0694
Ifenprodil (3QEL),1.0703
Ifenprodil (3QEL),1.071
Ifenprodil (3QEL),1.0714
Ifenprodil (3QEL),1.0718
Ifenprodil (3QEL),1.0721
Ifenprodil (3QEL),1.0745
Ifenprodil (3QEL),1.0747
Ifenprodil (3QEL),1.0754
Ifenprodil (3QEL),1.0782
Ifenprodil (3QEL),1.0789
Ifenprodil (3QEL),1.0822
Ifenprodil (3QEL),1.0833
Ifenprodil (3QEL),1.0845
Ifenprodil (3QEL),1.0848
Ifenprodil (3QEL),1.0861
Ifenprodil (3QEL),1.0866
Ifenprodil (3QEL),1.0882
Ifenprodil (3QEL),1.0901
Ifenprodil (3QEL),1.0903
Ifenprodil (3QEL),1.0906
Ifenprodil (3QEL),1.0909
Ifenprodil (3QEL),1.0932
Ifenprodil (3QEL),1.0936
Ifenprodil (3QEL),1.0947
Ifenprodil (3QEL),1.1002
Ifenprodil (3QEL),1.1013
Ifenprodil (3QEL),1.1021
Ifenprodil (3QEL),1.1038
Ifenprodil (3QEL),1.1043
Ifenprodil (3QEL),1.1048
Ifenprodil (3QEL),1.1051
Ifenprodil (3QEL),1.1053
Ifenprodil (3QEL),1.1061
Ifenprodil (3QEL),1.1061
Ifenprodil (3QEL),1.1071
Ifenprodil (3QEL),1.1072
Ifenprodil (3QEL),1.1076
Ifenprodil (3QEL),1.109
Ifenprodil (3QEL),1.1097
Ifenprodil (3QEL),1.1102
Ifenprodil (3QEL),1.1118
Ifenprodil (3QEL),1.1128
Ifenprodil (3QEL),1.1148
Ifenprodil (3QEL),1.1157
Ifenprodil (3QEL),1.1166
Ifenprodil (3QEL),1.1175
Ifenprodil (3QEL),1.1196
Ifenprodil (3QEL),1.1213
Ifenprodil (3QEL),1.1214
Ifenprodil (3QEL),1.1218
Ifenprodil (3QEL),1.1228
Ifenprodil (3QEL),1.1237
Ifenprodil (3QEL),1.1253
Ifenprodil (3QEL),1.1262
Ifenprodil (3QEL),1.1265
Ifenprodil (3QEL),1.1272
Ifenprodil (3QEL),1.1278
Ifenprodil (3QEL),1.1281
Ifenprodil (3QEL),1.129
Ifenprodil (3QEL),1.1295
Ifenprodil (3QEL),1.1297
Ifenprodil (3QEL),1.1308
Ifenprodil (3QEL),1.1309
Ifenprodil (3QEL),1.1315
Ifenprodil (3QEL),1.1317
Ifenprodil (3QEL),1.1328
Ifenprodil (3QEL),1.1346
Ifenprodil (3QEL),1.1351
Ifenprodil (3QEL),1.1365
Ifenprodil (3QEL),1.138
Ifenprodil (3QEL),1.1385
Ifenprodil (3QEL),1.1387
Ifenprodil (3QEL),1.1389
Ifenprodil (3QEL),1.1397
Ifenprodil (3QEL),1.1409
Ifenprodil (3QEL),1.1416
Ifenprodil (3QEL),1.142
Ifenprodil (3QEL),1.1426
Ifenprodil (3QEL),1.1434
Ifenprodil (3QEL),1.1437
Ifenprodil (3QEL),1.1445
Ifenprodil (3QEL),1.146
Ifenprodil (3QEL),1.146
Ifenprodil (3QEL),1.1464
Ifenprodil (3QEL),1.1468
Ifenprodil (3QEL),1.1468
Ifenprodil (3QEL),1.1471
Ifenprodil (3QEL),1.1472
Ifenprodil (3QEL),1.1478
Ifenprodil (3QEL),1.1479
Ifenprodil (3QEL),1.1491
Ifenprodil (3QEL),1.151
Ifenprodil (3QEL),1.1513
Ifenprodil (3QEL),1.1522
Ifenprodil (3QEL),1.153
Ifenprodil (3QEL),1.1536
Ifenprodil (3QEL),1.155
Ifenprodil (3QEL),1.1558
Ifenprodil (3QEL),1.1562
Ifenprodil (3QEL),1.1571
Ifenprodil (3QEL),1.1574
Ifenprodil (3QEL),1.1574
Ifenprodil (3QEL),1.1603
Ifenprodil (3QEL),1.1603
Ifenprodil (3QEL),1.1606
Ifenprodil (3QEL),1.1619
Ifenprodil (3QEL),1.1623
Ifenprodil (3QEL),1.1627
Ifenprodil (3QEL),1.1632
Ifenprodil (3QEL),1.1634
Ifenprodil (3QEL),1.1634
Ifenprodil (3QEL),1.1645
Ifenprodil (3QEL),1.1646
Ifenprodil (3QEL),1.1648
Ifenprodil (3QEL),1.1652
Ifenprodil (3QEL),1.1659
Ifenprodil (3QEL),1.1661
Ifenprodil (3QEL),1.1664
Ifenprodil (3QEL),1.1665
Ifenprodil (3QEL),1.1665
Ifenprodil (3QEL),1.1668
Ifenprodil (3QEL),1.1675
Ifenprodil (3QEL),1.1683
Ifenprodil (3QEL),1.169
Ifenprodil (3QEL),1.169
Ifenprodil (3QEL),1.1696
Ifenprodil (3QEL),1.1699
Ifenprodil (3QEL),1.1702
Ifenprodil (3QEL),1.1704
Ifenprodil (3QEL),1.1709
Ifenprodil (3QEL),1.1709
Ifenprodil (3QEL),1.1711
Ifenprodil (3QEL),1.1713
Ifenprodil (3QEL),1.1719
Ifenprodil (3QEL),1.1725
Ifenprodil (3QEL),1.173
Ifenprodil (3QEL),1.1734
Ifenprodil (3QEL),1.1736
Ifenprodil (3QEL),1.1742
Ifenprodil (3QEL),1.1745
Ifenprodil (3QEL),1.1756
Ifenprodil (3QEL),1.1757
Ifenprodil (3QEL),1.1775
Ifenprodil (3QEL),1.1776
Ifenprodil (3QEL),1.1777
Ifenprodil (3QEL),1.1779
Ifenprodil (3QEL),1.178
Ifenprodil (3QEL),1.1781
Ifenprodil (3QEL),1.1785
Ifenprodil (3QEL),1.1791
Ifenprodil (3QEL),1.1794
Ifenprodil (3QEL),1.18
Ifenprodil (3QEL),1.1801
Ifenprodil (3QEL),1.1804
Ifenprodil (3QEL),1.1804
Ifenprodil (3QEL),1.1813
